Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Y,source_file
1.63,0.66,0.94,4.13,2.65,1,GdCoOAc_(OH2.5-3.5).csv
1.36,0.95,0.69,4.45,2.55,0,GdCoOAc_(OH2.5-3.5).csv
1.62,0.77,0.9,3.89,2.82,0,GdCoOAc_(OH2.5-3.5).csv
1.31,0.69,0.92,4.47,2.61,0,GdCoOAc_(OH2.5-3.5).csv
2.22,0.72,0.76,3.53,2.77,1,GdCoOAc_(OH2.5-3.5).csv
1.75,0.58,0.66,3.83,3.18,0,GdCoOAc_(OH2.5-3.5).csv
2.89,0.97,0.68,2.62,2.84,1,GdCoOAc_(OH2.5-3.5).csv
1.46,0.83,0.87,4.16,2.68,0,GdCoOAc_(OH2.5-3.5).csv
2.04,0.86,0.7,3.55,2.86,0,GdCoOAc_(OH2.5-3.5).csv
1.84,0.61,0.73,3.53,3.29,0,GdCoOAc_(OH2.5-3.5).csv
2.27,0.52,0.93,3.2,3.07,1,GdCoOAc_(OH2.5-3.5).csv
2.97,0.59,0.91,2.47,3.05,1,GdCoOAc_(OH2.5-3.5).csv
2.32,0.7,0.54,3.02,3.42,0,GdCoOAc_(OH2.5-3.5).csv
1.04,0.93,0.96,3.77,3.3,0,GdCoOAc_(OH2.5-3.5).csv
2.24,0.55,0.98,2.8,3.43,0,GdCoOAc_(OH2.5-3.5).csv
2.01,0.79,0.86,3.78,2.56,1,GdCoOAc_(OH2.5-3.5).csv
1.78,0.88,0.53,3.87,2.93,1,GdCoOAc_(OH2.5-3.5).csv
1.24,0.56,0.69,4.52,2.99,0,GdCoOAc_(OH2.5-3.5).csv
1.28,0.94,0.75,4.07,2.96,0,GdCoOAc_(OH2.5-3.5).csv
2.95,0.52,0.78,3.17,2.59,1,GdCoOAc_(OH2.5-3.5).csv
1.69,0.96,0.59,3.61,3.16,0,GdCoOAc_(OH2.5-3.5).csv
1.11,0.99,0.67,3.83,3.39,0,GdCoOAc_(OH2.5-3.5).csv
2.44,0.9,0.79,2.82,3.04,1,GdCoOAc_(OH2.5-3.5).csv
1.12,0.61,0.62,5.02,2.63,0,GdCoOAc_(OH2.5-3.5).csv
2.34,0.57,0.72,3.0,3.37,1,GdCoOAc_(OH2.5-3.5).csv
2.67,0.92,0.53,3.36,2.52,0,GdCoOAc_(OH2.5-3.5).csv
1.66,0.67,0.68,3.79,3.2,0,GdCoOAc_(OH2.5-3.5).csv
2.48,0.89,0.6,3.47,2.57,1,GdCoOAc_(OH2.5-3.5).csv
2.51,0.68,0.64,3.51,2.66,1,GdCoOAc_(OH2.5-3.5).csv
2.69,0.64,0.83,2.96,2.88,1,GdCoOAc_(OH2.5-3.5).csv
2.91,0.88,0.67,2.98,2.57,1,GdCoOAc_(OH2.5-3.5).csv
